0,9,24,24,30,45,60,60,60,60,60,60,60,60,60
9,0,24,24,30,45,60,60,60,60,60,60,60,60,60
24,24,0,9,24,30,45,45,45,45,45,45,45,45,45
24,24,9,0,33,30,45,45,45,45,45,45,45,45,45
30,30,24,33,0,24,30,30,30,30,30,30,30,30,30
45,45,30,30,24,0,24,42,33,24,24,42,42,42,42
60,60,45,45,30,24,0,27,36,27,27,54,54,54,54
60,60,45,45,30,42,27,0,27,36,54,27,27,36,54
60,60,45,45,30,33,36,27,0,18,36,27,27,36,45
60,60,45,45,30,24,27,36,18,0,36,45,27,36,36
60,60,45,45,30,24,27,54,36,36,0,27,54,54,54
60,60,45,45,30,42,54,27,27,45,27,0,27,36,54
60,60,45,45,30,42,54,27,27,27,54,27,0,9,27
60,60,45,45,30,42,54,36,36,36,54,36,9,0,18
60,60,45,45,30,42,54,54,45,36,54,54,27,18,0
