0,1,5,5,6,6,5,7,7,5,5,6,6,6,6,6,4,4,6,6,5
1,0,4,4,6,5,5,7,6,5,4,6,6,6,5,5,4,4,6,5,5
5,4,0,1,7,4,4,6,7,3,4,6,5,5,6,5,5,4,7,5,7
5,4,1,0,6,4,4,7,6,3,4,6,4,4,5,6,5,4,8,4,6
6,6,7,6,0,6,7,7,5,7,6,7,7,6,7,7,5,6,7,4,6
6,5,4,4,6,0,2,7,5,4,4,4,6,6,5,5,4,4,7,2,6
5,5,4,4,7,2,0,6,6,4,4,4,6,6,4,4,5,4,7,3,6
7,7,6,7,7,7,6,0,7,6,6,8,8,8,6,7,6,7,6,7,6
7,6,7,6,5,5,6,7,0,5,5,5,4,5,5,5,7,7,5,4,5
5,5,3,3,7,4,4,6,5,0,2,5,5,5,5,6,5,5,7,5,6
5,4,4,4,6,4,4,6,5,2,0,4,6,6,5,5,6,4,6,4,5
6,6,6,6,7,4,4,8,5,5,4,0,4,5,3,3,7,4,5,4,6
6,6,5,4,7,6,6,8,4,5,6,4,0,1,4,4,7,7,5,5,5
6,6,5,4,6,6,6,8,5,5,6,5,1,0,5,5,7,7,5,5,5
6,5,6,5,7,5,4,6,5,5,5,3,4,5,0,1,7,5,7,4,7
6,5,5,6,7,5,4,7,5,6,5,3,4,5,1,0,8,5,7,4,7
4,4,5,5,5,4,5,6,7,5,6,7,7,7,7,8,0,6,7,5,6
4,4,4,4,6,4,4,7,7,5,4,4,7,7,5,5,6,0,6,3,5
6,6,7,8,7,7,7,6,5,7,6,5,5,5,7,7,7,6,0,7,4
6,5,5,4,4,2,3,7,4,5,4,4,5,5,4,4,5,3,7,0,5
5,5,7,6,6,6,6,6,5,6,5,6,5,5,7,7,6,5,4,5,0
