0,9,24,24,30,30,30,30,30,45,45,45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
9,0,24,24,30,30,30,30,30,45,45,45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
24,24,0,9,24,24,24,24,24,30,30,30,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
24,24,9,0,33,33,33,33,33,30,30,30,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
30,30,24,33,0,1,2,9,9,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,24,33,1,0,1,9,9,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,24,33,2,1,0,9,9,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,24,33,9,9,9,0,1,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,24,33,9,9,9,1,0,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
45,45,30,30,24,24,24,24,24,0,5,9,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,24,33,24,24,33,33,33,42,33,33,42,33,33,42,42,42,42,42,42,42,42,42,42,42,42,42
45,45,30,30,24,24,24,24,24,5,0,9,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,24,33,24,24,33,33,33,42,33,33,42,33,33,42,42,42,42,42,42,42,42,42,42,42,42,42
45,45,30,30,24,24,24,24,24,9,9,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,33,24,33,33,24,24,24,33,24,24,33,24,24,33,33,33,33,33,33,42,42,42,42,42,42,42
60,60,45,45,30,30,30,30,30,24,24,33,0,3,3,4,3,9,9,9,9,9,18,9,18,18,18,27,27,36,27,27,36,36,36,45,45,45,54,45,45,54,54,54,54,54,54,54,54,54,54,54,54,54
